Раздел,Сайт,App Store,Play Market
skillbox,https://skillbox.ru/,https://apps.apple.com/ru/developer/skillbox/id1438393536,https://play.google.com/store/apps/details?id=ru.skillbox.freecourses&hl=ru&gl=US
Учи.Дома,https://www.doma.uchi.ru/,—,—
Учи.ру,https://uchi.ru/,https://apps.apple.com/ru/developer/%D1%83%D1%87%D0%B8-%D1%80%D1%83-ooo/id1142128526,https://play.google.com/store/apps/details?id=com.uchi.app&hl=ru&gl=US
